,Date,Winner,Loser,HomeTeam,MOV,Winner_FG%,Loser_FG%,Winner_TOV,Loser_TOV
0,1989-11-03,IND,ATL,ATL,23.0,.540,.447,13,18
0,1989-11-03,SEA,MIN,SEA,12.0,.533,.444,20,12
0,1989-11-03,LAC,HOU,LAC,14.0,.500,.446,19,25
0,1989-11-03,PHO,GSW,PHO,30.0,.510,.404,17,29
0,1989-11-03,OKC,MIN,OKC,12.0,.533,.444,20,12
0,1989-11-03,DET,NYK,DET,3.0,.468,.494,18,20
0,1989-11-03,UTA,DEN,UTA,9.0,.622,.420,23,11
0,1989-11-03,LAL,DAL,DAL,8.0,.467,.417,19,18
0,1989-11-03,POR,SAC,POR,18.0,.510,.417,22,15
0,1989-11-03,CHI,CLE,CHI,5.0,.473,.516,12,20
0,1989-11-03,WSB,CHO,CHO,20.0,.462,.462,19,20
0,1989-11-03,WAS,CHH,CHH,20.0,.462,.462,19,20
0,1989-11-03,BRK,MIA,MIA,20.0,.442,.376,14,16
0,1989-11-03,BOS,MIL,BOS,13.0,.605,.422,16,9
0,1989-11-03,NJN,MIA,MIA,20.0,.442,.376,14,16
1,1989-11-04,IND,CLE,IND,8.0,.506,.456,18,19
1,1989-11-04,BRK,ORL,ORL,5.0,.416,.364,11,14
1,1989-11-04,BOS,CHI,CHI,2.0,.467,.467,19,13
1,1989-11-04,NYK,MIA,NYK,20.0,.477,.435,26,21
1,1989-11-04,DET,WAS,WAS,2.0,.386,.476,10,14
1,1989-11-04,SAC,OKC,SAC,7.0,.451,.419,14,18
0,1989-11-04,NJN,ORL,ORL,5.0,.416,.364,11,14
1,1989-11-04,HOU,GSW,GSW,27.0,.520,.385,21,24
1,1989-11-04,DEN,PHO,DEN,3.0,.510,.543,9,20
1,1989-11-04,SAC,SEA,SAC,7.0,.451,.419,14,18
1,1989-11-04,DET,WSB,WSB,2.0,.386,.476,10,14
1,1989-11-04,MIL,PHI,PHI,6.0,.469,.453,18,22
1,1989-11-04,SAS,LAL,SAS,8.0,.429,.384,20,15
1,1989-11-05,POR,MIN,POR,10.0,.462,.333,17,12
2,1989-11-06,ORL,NYK,ORL,8.0,.505,.438,25,16
1,1989-11-07,WSB,ATL,ATL,4.0,.553,.489,21,13
2,1989-11-07,MIA,NJN,NJN,6.0,.443,.309,25,19
2,1989-11-07,CHI,DET,CHI,3.0,.564,.494,16,16
2,1989-11-07,HOU,POR,HOU,23.0,.473,.359,21,19
2,1989-11-07,MIA,BRK,BRK,6.0,.443,.309,25,19
2,1989-11-07,GSW,LAC,GSW,24.0,.587,.400,32,27
1,1989-11-07,SEA,CHO,SEA,40.0,.533,.376,19,22
2,1989-11-07,WAS,ATL,ATL,4.0,.553,.489,21,13
2,1989-11-07,LAL,PHO,LAL,4.0,.474,.473,21,19
1,1989-11-07,SAC,DAL,SAC,2.0,.419,.373,10,24
2,1989-11-07,OKC,CHH,OKC,40.0,.533,.376,19,22
2,1989-11-07,MIL,BOS,MIL,6.0,.500,.435,14,17
2,1989-11-08,DAL,LAC,LAC,24.0,.600,.451,16,24
2,1989-11-08,DEN,SAC,DEN,18.0,.430,.413,17,29
3,1989-11-08,IND,DET,IND,21.0,.544,.344,23,19
2,1989-11-08,ORL,CLE,CLE,7.0,.441,.450,22,18
3,1989-11-08,WAS,BOS,WAS,9.0,.473,.478,9,14
3,1989-11-08,WSB,BOS,WSB,9.0,.473,.478,9,14
3,1989-11-08,PHI,MIA,PHI,24.0,.506,.438,22,26
3,1989-11-08,POR,SAS,SAS,4.0,.478,.457,14,12
1,1989-11-08,UTA,CHH,UTA,16.0,.473,.461,22,25
2,1989-11-08,UTA,CHO,UTA,16.0,.473,.461,22,25
3,1989-11-08,CHI,MIN,MIN,12.0,.462,.372,18,14
