,Date,Winner,Loser,HomeTeam,MOV,Winner_FG%,Loser_FG%,Winner_TOV,Loser_TOV
0,2009-10-27,POR,HOU,POR,9.0,.429,.370,26,16
0,2009-10-27,WAS,DAL,DAL,11.0,.464,.395,9,9
0,2009-10-27,BOS,CLE,CLE,6.0,.444,.414,14,13
0,2009-10-27,LAL,LAC,LAL,7.0,.412,.448,16,20
0,2009-10-28,DEN,UTA,DEN,9.0,.483,.457,13,15
1,2009-10-28,TOR,CLE,TOR,10.0,.453,.349,13,14
1,2009-10-28,BOS,CHA,BOS,33.0,.434,.311,12,18
1,2009-10-28,PHO,LAC,LAC,2.0,.513,.558,14,15
0,2009-10-28,HOU,GSW,GSW,1.0,.465,.494,18,16
0,2009-10-28,DET,MEM,MEM,22.0,.514,.361,9,14
0,2009-10-28,SAS,NOP,SAS,17.0,.523,.500,10,10
0,2009-10-28,ORL,PHI,ORL,14.0,.556,.500,15,13
0,2009-10-28,ATL,IND,ATL,11.0,.529,.534,10,25
0,2009-10-28,MIA,NYK,MIA,22.0,.566,.379,16,13
0,2009-10-28,MIN,NJN,MIN,2.0,.366,.420,10,22
0,2009-10-28,OKC,SAC,OKC,13.0,.513,.405,12,12
0,2009-10-28,MIN,BRK,MIN,2.0,.366,.420,10,22
0,2009-10-28,BOS,CHO,BOS,33.0,.434,.311,12,18
0,2009-10-28,SAS,NOH,SAS,17.0,.523,.500,10,10
1,2009-10-29,DEN,POR,POR,3.0,.459,.346,8,7
0,2009-10-29,CHI,SAS,CHI,7.0,.417,.423,9,13
1,2009-10-30,CHA,NYK,CHA,2.0,.380,.388,15,17
1,2009-10-30,DAL,LAL,LAL,14.0,.416,.395,17,19
1,2009-10-30,ATL,WAS,ATL,11.0,.410,.443,12,14
1,2009-10-30,MIA,IND,IND,13.0,.435,.367,15,14
2,2009-10-30,CLE,MIN,MIN,17.0,.476,.419,11,17
0,2009-10-30,PHI,MIL,PHI,13.0,.457,.400,19,20
1,2009-10-30,MEM,TOR,MEM,8.0,.512,.443,17,14
1,2009-10-30,ORL,NJN,NJN,10.0,.493,.383,14,6
1,2009-10-30,ORL,BRK,BRK,10.0,.493,.383,14,6
1,2009-10-30,CHO,NYK,CHO,2.0,.380,.388,15,17
2,2009-10-30,UTA,LAC,UTA,13.0,.500,.459,10,9
1,2009-10-30,OKC,DET,DET,8.0,.434,.371,11,15
1,2009-10-30,NOP,SAC,NOP,5.0,.452,.375,11,10
1,2009-10-30,NOH,SAC,NOH,5.0,.452,.375,11,10
2,2009-10-30,BOS,CHI,BOS,28.0,.581,.415,16,15
1,2009-10-30,PHO,GSW,PHO,22.0,.536,.424,23,22
3,2009-10-31,CLE,CHA,CLE,11.0,.581,.426,17,17
2,2009-10-31,WAS,NJN,WAS,19.0,.615,.463,13,11
2,2009-10-31,HOU,POR,HOU,4.0,.506,.514,13,15
2,2009-10-31,CLE,CHO,CLE,11.0,.581,.426,17,17
2,2009-10-31,DAL,LAC,LAC,9.0,.417,.427,11,19
2,2009-10-31,SAS,SAC,SAS,19.0,.581,.446,17,18
2,2009-10-31,PHI,NYK,NYK,14.0,.607,.470,16,14
2,2009-10-31,WAS,BRK,WAS,19.0,.615,.463,13,11
2,2009-10-31,MIL,DET,MIL,11.0,.410,.437,14,20
3,2009-11-01,BOS,NOH,BOS,10.0,.539,.420,15,16
2,2009-11-01,LAL,ATL,LAL,8.0,.529,.449,15,19
2,2009-11-01,POR,OKC,OKC,9.0,.406,.343,14,16
2,2009-11-01,ORL,TOR,TOR,9.0,.439,.541,9,14
2,2009-11-01,MIA,CHI,MIA,8.0,.486,.409,18,13
2,2009-11-01,DEN,MEM,DEN,10.0,.553,.578,12,20
2,2009-11-01,PHO,MIN,PHO,8.0,.500,.464,16,10
2,2009-11-01,BOS,NOP,BOS,10.0,.539,.420,15,16
3,2009-11-02,HOU,UTA,UTA,17.0,.500,.451,14,19
4,2009-11-02,LAC,MIN,LAC,3.0,.427,.420,18,12
3,2009-11-02,CHA,BRK,CHA,11.0,.324,.373,19,25
3,2009-11-02,NYK,NOH,NYK,6.0,.462,.488,9,11
3,2009-11-02,SAC,MEM,SAC,11.0,.484,.455,13,21
3,2009-11-02,CHO,NJN,CHO,11.0,.324,.373,19,25
3,2009-11-02,NYK,NOP,NYK,6.0,.462,.488,9,11
3,2009-11-03,LAL,OKC,OKC,3.0,.521,.432,25,21
3,2009-11-03,DEN,IND,IND,18.0,.427,.396,18,14
3,2009-11-03,DET,ORL,DET,5.0,.375,.367,9,15
3,2009-11-03,DAL,UTA,DAL,11.0,.395,.415,15,14
4,2009-11-03,CLE,WAS,CLE,12.0,.419,.391,7,13
3,2009-11-03,CHI,MIL,CHI,2.0,.392,.396,18,11
3,2009-11-03,ATL,POR,POR,6.0,.463,.424,11,8
3,2009-11-03,PHO,MIA,MIA,8.0,.506,.400,14,9
4,2009-11-03,BOS,PHI,PHI,31.0,.569,.363,17,16
4,2009-11-04,DEN,NJN,NJN,28.0,.530,.380,14,13
2,2009-11-04,GSW,MEM,GSW,8.0,.540,.488,13,17
4,2009-11-04,NOP,DAL,NOP,7.0,.500,.459,13,17
4,2009-11-04,TOR,DET,TOR,11.0,.434,.446,6,11
5,2009-11-04,BOS,MIN,MIN,2.0,.446,.520,9,17
4,2009-11-04,DEN,BRK,BRK,28.0,.530,.380,14,13
4,2009-11-04,LAL,HOU,HOU,1.0,.419,.453,9,19
4,2009-11-04,ATL,SAC,SAC,8.0,.541,.417,16,7
3,2009-11-04,IND,NYK,NYK,12.0,.463,.395,21,18
4,2009-11-04,MIA,WAS,WAS,4.0,.486,.378,17,12
4,2009-11-04,ORL,PHO,ORL,22.0,.523,.455,15,18
4,2009-11-04,NOH,DAL,NOH,7.0,.500,.459,13,17
3,2009-11-05,UTA,SAS,UTA,14.0,.530,.432,10,11
4,2009-11-05,CHI,CLE,CLE,1.0,.409,.407,6,12
4,2009-11-06,TOR,NOH,NOH,17.0,.506,.480,10,14
5,2009-11-06,TOR,NOP,NOP,17.0,.506,.480,10,14
5,2009-11-06,PHI,BRK,PHI,3.0,.500,.470,15,13
4,2009-11-06,CHO,ATL,CHO,20.0,.470,.398,15,7
3,2009-11-06,MIL,MIN,MIN,15.0,.415,.392,19,21
5,2009-11-06,ORL,DET,ORL,7.0,.474,.514,11,11
3,2009-11-06,LAC,GSW,GSW,28.0,.579,.345,16,19
5,2009-11-06,POR,SAS,POR,12.0,.432,.380,12,9
6,2009-11-06,PHO,BOS,BOS,7.0,.500,.517,15,12
5,2009-11-06,CHA,ATL,CHA,20.0,.470,.398,15,7
5,2009-11-06,LAL,MEM,LAL,16.0,.505,.456,8,11
4,2009-11-06,PHI,NJN,PHI,3.0,.500,.470,15,13
5,2009-11-06,MIA,DEN,MIA,8.0,.493,.472,17,19
5,2009-11-06,HOU,OKC,HOU,11.0,.538,.435,17,13
4,2009-11-06,IND,WAS,IND,16.0,.400,.393,11,19
6,2009-11-06,CLE,NYK,NYK,9.0,.535,.444,21,16
6,2009-11-07,LAC,MEM,LAC,3.0,.500,.461,12,17
5,2009-11-07,SAC,UTA,UTA,5.0,.493,.487,10,12
5,2009-11-07,DAL,TOR,DAL,28.0,.624,.439,9,14
5,2009-11-07,CHI,CHA,CHI,3.0,.500,.395,21,17
6,2009-11-07,ATL,DEN,ATL,25.0,.517,.410,8,10
6,2009-11-07,BOS,BRK,BRK,10.0,.449,.431,12,23
7,2009-11-07,BOS,NJN,NJN,10.0,.449,.431,12,23
4,2009-11-07,MIL,NYK,MIL,15.0,.466,.413,19,17
5,2009-11-07,CHI,CHO,CHI,3.0,.500,.395,21,17
6,2009-11-08,PHO,WAS,WAS,12.0,.477,.391,20,17
6,2009-11-08,LAL,NOH,LAL,16.0,.469,.365,12,12
5,2009-11-08,OKC,ORL,OKC,28.0,.571,.368,15,15
6,2009-11-08,LAL,NOP,LAL,16.0,.469,.365,12,12
6,2009-11-08,POR,MIN,POR,23.0,.500,.446,13,15
6,2009-11-08,DET,PHI,DET,7.0,.444,.436,15,16
4,2009-11-08,SAC,GSW,SAC,13.0,.494,.506,14,14
5,2009-11-09,SAS,TOR,SAS,7.0,.483,.592,6,11
6,2009-11-09,PHO,PHI,PHI,4.0,.532,.537,12,11
7,2009-11-09,NOP,LAC,LAC,28.0,.500,.430,14,17
7,2009-11-09,UTA,NYK,NYK,2.0,.457,.432,19,10
5,2009-11-09,GSW,MIN,GSW,41.0,.571,.447,12,28
7,2009-11-09,NOH,LAC,LAC,28.0,.500,.430,14,17
6,2009-11-10,DAL,HOU,DAL,18.0,.554,.427,14,13
6,2009-11-10,SAC,OKC,SAC,3.0,.447,.397,21,15
6,2009-11-10,ORL,CHO,CHO,12.0,.469,.442,14,16
6,2009-11-10,DEN,CHI,CHI,1.0,.417,.437,18,13
7,2009-11-10,ORL,CHA,CHA,12.0,.469,.442,14,16
