,Date,Winner,Loser,HomeTeam,MOV,Winner_FG%,Loser_FG%,Winner_TOV,Loser_TOV
0,1959-10-17,BOS,SAC,BOS,4.0,.439,.359,,
0,1959-10-17,BOS,CIN,BOS,4.0,.439,.359,,
0,1959-10-18,DET,LAL,LAL,1.0,,,,
0,1959-10-18,DET,MNL,MNL,1.0,,,,
0,1959-10-24,MNL,ATL,ATL,7.0,.378,.343,,
1,1959-10-24,BOS,SYR,SYR,12.0,,,,
1,1959-10-24,LAL,STL,STL,7.0,.378,.343,,
0,1959-10-24,GSW,NYK,NYK,9.0,.462,.336,,27
0,1959-10-24,PHW,NYK,NYK,9.0,.462,.336,,27
1,1959-10-24,CIN,DET,CIN,5.0,,,,
1,1959-10-24,SAC,DET,SAC,5.0,,,,
0,1959-10-24,BOS,PHI,PHI,12.0,,,,
2,1959-10-25,CIN,LAL,CIN,1.0,,,,
2,1959-10-25,SAC,MNL,SAC,1.0,,,,
2,1959-10-28,DET,SYR,DET,15.0,,,,
1,1959-10-28,DET,PHI,DET,15.0,,,,
2,1959-10-30,PHI,CIN,CIN,9.0,.505,,,
3,1959-10-30,SYR,SAC,SAC,9.0,,,,
3,1959-10-31,PHW,DET,PHW,8.0,.367,.392,,
4,1959-10-31,STL,SAC,STL,7.0,,,,
3,1959-10-31,SYR,LAL,SYR,9.0,,,,
3,1959-10-31,PHI,MNL,PHI,9.0,,,,
2,1959-10-31,BOS,NYK,NYK,14.0,,,,
1,1959-10-31,ATL,CIN,ATL,7.0,,,,
1,1959-10-31,GSW,DET,GSW,8.0,.367,.392,,
3,1959-11-01,BOS,CIN,CIN,15.0,,,,
5,1959-11-01,BOS,SAC,SAC,15.0,,,,
2,1959-11-01,ATL,MNL,MNL,37.0,,,,
4,1959-11-01,STL,LAL,LAL,37.0,,,,
5,1959-11-03,NYK,LAL,LAL,6.0,.384,.333,,
2,1959-11-03,NYK,MNL,NYK,6.0,.384,.333,,
4,1959-11-03,BOS,STL,STL,5.0,.349,.373,,
3,1959-11-03,BOS,ATL,ATL,5.0,.349,.373,,
4,1959-11-04,NYK,DET,DET,6.0,,,,
4,1959-11-04,PHW,PHI,PHW,11.0,.345,.364,,
2,1959-11-04,GSW,SYR,GSW,11.0,.345,.364,,
6,1959-11-06,DET,LAL,LAL,5.0,,,,
5,1959-11-06,DET,MNL,MNL,5.0,,,,
6,1959-11-07,MNL,DET,DET,2.0,,,,
7,1959-11-07,LAL,DET,DET,2.0,,,,
4,1959-11-07,STL,NYK,STL,4.0,,,,
5,1959-11-07,BOS,PHW,BOS,9.0,.402,.328,,
5,1959-11-07,CIN,PHI,PHI,2.0,,,,
3,1959-11-07,BOS,GSW,BOS,9.0,.402,.328,,
6,1959-11-07,SAC,SYR,SAC,2.0,,,,
4,1959-11-07,ATL,NYK,ATL,4.0,,,,
8,1959-11-08,LAL,BOS,LAL,21.0,.477,.435,,
6,1959-11-08,PHI,DET,PHI,11.0,.404,.373,,
6,1959-11-08,MNL,BOS,MNL,21.0,.477,.435,,
4,1959-11-08,GSW,CIN,GSW,28.0,.343,.376,,
7,1959-11-08,PHW,SAC,PHW,28.0,.343,.376,,
7,1959-11-08,SYR,DET,SYR,11.0,.404,.373,,
9,1959-11-10,STL,LAL,STL,29.0,.451,.371,,
