,Date,Winner,Loser,HomeTeam,MOV,Winner_FG%,Loser_FG%,Winner_TOV,Loser_TOV
0,1979-10-12,ATL,NYK,ATL,17.0,,,,26
0,1979-10-12,POR,UTA,POR,16.0,.543,.448,16,24
0,1979-10-12,DET,IND,DET,9.0,.536,.435,24,18
0,1979-10-12,PHO,GSW,PHO,8.0,.430,.402,25,19
0,1979-10-12,SAC,MIL,SAC,2.0,.449,.476,,
0,1979-10-12,PHI,WSB,WSB,1.0,.458,.440,,
0,1979-10-12,LAL,LAC,LAC,1.0,.488,.478,20,18
0,1979-10-12,BOS,HOU,BOS,8.0,.469,.481,15,22
0,1979-10-12,LAL,SDC,SDC,1.0,.488,.478,20,18
0,1979-10-12,KCK,MIL,KCK,2.0,.449,.476,,
0,1979-10-12,NJN,CLE,NJN,7.0,.421,.410,28,31
0,1979-10-12,BRK,CLE,BRK,7.0,.421,.410,28,31
0,1979-10-12,PHI,WAS,WAS,1.0,.458,.440,,
1,1979-10-13,NYK,WSB,NYK,7.0,.451,.415,,
1,1979-10-13,IND,ATL,IND,14.0,.560,.453,22,18
1,1979-10-13,DET,SAS,SAS,2.0,,,,
0,1979-10-13,CHI,GSW,GSW,6.0,.494,.444,20,25
1,1979-10-13,NYK,WAS,NYK,7.0,.451,.415,,
0,1979-10-13,MIL,DEN,DEN,29.0,.548,.330,20,26
1,1979-10-13,BOS,CLE,CLE,22.0,.625,.479,22,20
1,1979-10-13,PHI,HOU,PHI,8.0,.517,.413,26,24
1,1979-10-14,PHO,CHI,PHO,10.0,.451,.449,16,17
0,1979-10-14,SDC,OKC,SDC,5.0,.422,.369,16,15
1,1979-10-14,POR,DEN,POR,16.0,.522,.493,12,16
1,1979-10-14,LAC,SEA,LAC,5.0,.422,.369,16,15
2,1979-10-15,MIL,UTA,UTA,24.0,.585,.477,16,19
2,1979-10-16,GSW,DEN,DEN,2.0,.489,.471,11,22
2,1979-10-16,SAS,ATL,ATL,2.0,,,,
2,1979-10-16,NYK,HOU,NYK,5.0,,,22,
2,1979-10-16,IND,NJN,IND,13.0,.523,.392,21,23
2,1979-10-16,PHO,SEA,PHO,16.0,.461,.411,17,9
2,1979-10-16,CLE,DET,CLE,20.0,.540,.461,22,28
2,1979-10-16,POR,SDC,POR,7.0,.449,.376,16,17
1,1979-10-16,IND,BRK,IND,13.0,.523,.392,21,23
2,1979-10-16,POR,LAC,POR,7.0,.449,.376,16,17
