,Date,Winner,Loser,HomeTeam,MOV,Winner_FG%,Loser_FG%,Winner_TOV,Loser_TOV
0,1999-11-02,WAS,ATL,WAS,7.0,.443,.397,15,23
0,1999-11-02,BOS,TOR,TOR,13.0,.521,.440,17,17
0,1999-11-02,CHO,ORL,CHO,14.0,.415,.425,21,22
0,1999-11-02,NYK,CLE,NYK,8.0,.432,.390,15,18
0,1999-11-02,DAL,GSW,DAL,12.0,.459,.415,13,23
0,1999-11-02,DEN,PHO,DEN,5.0,.449,.387,18,13
0,1999-11-02,MIA,DET,MIA,6.0,.387,.434,14,19
0,1999-11-02,MIL,HOU,HOU,5.0,.481,.453,8,18
0,1999-11-02,IND,NJN,NJN,7.0,.474,.444,20,18
0,1999-11-02,SEA,LAC,LAC,12.0,.398,.449,11,17
0,1999-11-02,LAL,UTA,UTA,7.0,.434,.433,16,17
0,1999-11-02,POR,MEM,MEM,20.0,.549,.400,10,16
0,1999-11-02,OKC,LAC,LAC,12.0,.398,.449,11,17
0,1999-11-02,CHH,ORL,CHH,14.0,.415,.425,21,22
0,1999-11-02,SAS,PHI,SAS,13.0,.431,.361,20,12
0,1999-11-02,IND,BRK,BRK,7.0,.474,.444,20,18
0,1999-11-02,POR,VAN,VAN,20.0,.549,.400,10,16
1,1999-11-03,BOS,WAS,BOS,11.0,.511,.456,16,15
0,1999-11-03,NYK,CHI,CHI,10.0,.474,.304,19,10
1,1999-11-03,CLE,NJN,CLE,7.0,.469,.341,27,21
1,1999-11-03,ORL,DET,ORL,9.0,.462,.438,22,19
1,1999-11-03,CLE,BRK,CLE,7.0,.469,.341,27,21
1,1999-11-03,POR,LAC,POR,23.0,.608,.450,15,11
1,1999-11-03,LAL,VAN,LAL,15.0,.505,.411,13,18
1,1999-11-03,LAL,MEM,LAL,15.0,.505,.411,13,18
1,1999-11-04,SAS,GSW,SAS,23.0,.494,.341,13,17
1,1999-11-04,MIL,ATL,ATL,10.0,.456,.494,11,26
1,1999-11-04,CHO,IND,CHO,9.0,.437,.479,13,32
1,1999-11-04,SEA,DAL,SEA,10.0,.420,.472,11,16
1,1999-11-04,PHO,PHI,PHO,4.0,.397,.363,25,17
1,1999-11-04,UTA,HOU,UTA,16.0,.532,.441,19,23
1,1999-11-04,CHH,IND,CHH,9.0,.437,.479,13,32
1,1999-11-04,OKC,DAL,OKC,10.0,.420,.472,11,16
1,1999-11-04,TOR,MIA,TOR,11.0,.430,.434,11,18
2,1999-11-05,CLE,ORL,ORL,5.0,.489,.389,20,21
1,1999-11-05,MIA,CHI,CHI,18.0,.507,.385,22,20
2,1999-11-05,TOR,BRK,BRK,20.0,.506,.382,12,8
2,1999-11-05,BOS,CHO,BOS,3.0,.448,.480,17,19
0,1999-11-05,SAC,MIN,SAC,5.0,.358,.394,19,18
1,1999-11-05,POR,DEN,POR,12.0,.474,.432,19,21
2,1999-11-05,LAC,PHI,LAC,10.0,.435,.337,29,19
2,1999-11-05,TOR,NJN,NJN,20.0,.506,.382,12,8
2,1999-11-05,NYK,DET,DET,12.0,.542,.386,20,16
2,1999-11-05,BOS,CHH,BOS,3.0,.448,.480,17,19
2,1999-11-05,SAS,HOU,HOU,10.0,.455,.398,18,20
3,1999-11-06,MIL,DET,MIL,10.0,.506,.506,9,20
2,1999-11-06,SEA,UTA,SEA,5.0,.519,.468,10,14
2,1999-11-06,DAL,GSW,GSW,23.0,.506,.358,9,13
2,1999-11-06,ATL,CHI,ATL,16.0,.543,.438,11,14
2,1999-11-06,VAN,DEN,VAN,15.0,.556,.457,9,18
3,1999-11-06,CLE,NYK,CLE,9.0,.444,.439,16,15
1,1999-11-06,MIN,SAC,MIN,13.0,.516,.488,14,16
3,1999-11-06,ORL,WAS,WAS,3.0,.469,.425,11,19
2,1999-11-06,POR,LAL,POR,15.0,.551,.397,17,14
2,1999-11-06,MEM,DEN,MEM,15.0,.556,.457,9,18
